"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
139,"Acropora cervicornis","(Lamarck, 1816)","1999-05-26 12:00:00",-88.1399993896484,16.7600002288818,"AGRRA","agrra_benthic","13325","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,2.5,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"1999"
170,"Acropora cervicornis","(Lamarck, 1816)","1999-05-27 12:00:00",-88.19000244140621,16.6599998474121,"AGRRA","agrra_benthic","12951","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,4.9,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"1999"
16811,"Acropora cervicornis","(Lamarck, 1816)","2003-09-28 12:00:00",-65.2483673095703,18.331100463867198,"AGRRA","agrra_benthic","61732","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,4.15,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"2003"
16841,"Acropora cervicornis","(Lamarck, 1816)","2003-09-27 12:00:00",-65.30474853515621,18.1514167785645,"AGRRA","agrra_benthic","63291","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,4.45,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"2003"
36889,"Acropora cervicornis","(Lamarck, 1816)","2002-06-14 12:00:00",-82.1012191772461,9.28251647949219,"AGRRA","agrra_benthic","54137","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,3.9,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"2002"
57070,"Acropora cervicornis","(Lamarck, 1816)","1999-06-17 12:00:00",-81.07659912109379,19.333366394043,"AGRRA","agrra_benthic","14843","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,10,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1070071423,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"1999"
74279,"Acropora cervicornis","(Lamarck, 1816)","2000-07-14 12:00:00",-88.0722503662109,16.722633361816403,"AGRRA","agrra_benthic","37094","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,16.4,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"2000"
75414,"Acropora cervicornis","(Lamarck, 1816)","2003-09-30 12:00:00",-65.5725021362305,18.377733230590803,"AGRRA","agrra_benthic","61541","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,2.5,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"2003"
77337,"Acropora cervicornis","(Lamarck, 1816)","1999-06-22 12:00:00",-81.39105224609379,19.286199569702102,"AGRRA","agrra_benthic","15654","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,9,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1070071423,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"1999"
97521,"Acropora cervicornis","(Lamarck, 1816)","1998-08-18 12:00:00",-77.8076705932617,24.751329421997102,"AGRRA","agrra_benthic","5428","urn:lsid:marinespecies.org:taxname:206989","Acropora cervicornis",,,,,,,,,,,"Anthozoa",,,,,,,,,,0.8,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1056439935,,,,,231,,,,,,"Acropora cervicornis",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,597008,,,,206989,"1998"
