"id","scientificName","scientificNameAuthorship","eventDate","decimalLongitude","decimalLatitude","institutionCode","collectionCode","catalogNumber","scientificNameID","originalscientificname","acceptedNameUsage","acceptedNameUsageID","accessRights","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","basisOfRecord","behavior","bibliographicCitation","class","collectionID","continent","coordinatePrecision","coordinateUncertaintyInMeters","countryCode","county","dataGeneralizations","datasetID","dateIdentified","depth","division","dynamicProperties","establishmentMeans","eventID","eventRemarks","eventTime","family","fieldNotes","fieldNumber","footprintSRS","footprintWKT","forma","genus","geodeticDatum","habitat","higherClassification","higherGeography","higherGeographyID","identificationID","identificationQualifier","identificationReferences","identificationRemarks","identifiedBy","individualCount","individualID","informationWithheld","infraclass","infrakingdom","infraorder","infraphylum","institutionID","island","islandGroup","kingdom","language","lifeStage","locality","locationAccordingTo","locationID","locationRemarks","materialSampleID","maximumDepthInMeters","minimumDepthInMeters","modified","municipality","nameAccordingTo","nameAccordingToID","namePublishedIn","namePublishedInID","occurrenceID","occurrenceRemarks","occurrenceStatus","order","originalNameUsage","originalNameUsageID","otherCatalogNumbers","ownerInstitutionCode","parvorder","phylum","qc","recordNumber","recordedBy","references","reproductiveCondition","resource_id","rights","rightsHolder","section","sex","source","species","stateProvince","subclass","subdivision","subfamily","subforma","subgenus","subkingdom","suborder","subphylum","subsection","subspecies","subterclass","subtribe","subvariety","superclass","superfamily","superorder","supertribe","taxonConceptID","taxonID","taxonRank","taxonRemarks","taxonomicStatus","taxonomicgroup","tribe","type","typeStatus","valid_id","variety","vernacularName","waterBody","worms_id","year"
141,"Acropora palmata","(Lamarck, 1816)","1999-08-09 12:00:00",-76.9885025024414,26.3978328704834,"AGRRA","agrra_benthic","21075","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,3,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1999"
143,"Acropora palmata","(Lamarck, 1816)","1997-08-18 12:00:00",-78.0343322753906,25.2239208221436,"AGRRA","agrra_benthic","656","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,0.7,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1072168575,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1997"
149,"Acropora palmata","(Lamarck, 1816)","1998-08-12 12:00:00",-77.6706771850586,24.343149185180696,"AGRRA","agrra_benthic","5129","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.1,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1998"
163,"Acropora palmata","(Lamarck, 1816)","2001-08-25 12:00:00",-79.2076644897461,20.966749191284197,"AGRRA","agrra_benthic","52326","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.75,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2001"
169,"Acropora palmata","(Lamarck, 1816)","1997-08-14 12:00:00",-77.4263687133789,23.7909202575684,"AGRRA","agrra_benthic","2325","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.75,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1997"
173,"Acropora palmata","(Lamarck, 1816)","1997-08-17 12:00:00",-78.0028991699219,25.160100936889602,"AGRRA","agrra_benthic","1100","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.8,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1070071423,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1997"
178,"Acropora palmata","(Lamarck, 1816)","1997-08-14 12:00:00",-77.4263687133789,23.7909202575684,"AGRRA","agrra_benthic","2279","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,3,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1997"
180,"Acropora palmata","(Lamarck, 1816)","1998-08-15 12:00:00",-77.6478805541992,24.3013000488281,"AGRRA","agrra_benthic","5796","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1.1,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1998"
187,"Acropora palmata","(Lamarck, 1816)","1998-08-21 12:00:00",-77.9378280639648,25.0636692047119,"AGRRA","agrra_benthic","6537","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,1,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"1998"
197,"Acropora palmata","(Lamarck, 1816)","2003-06-03 12:00:00",-82.9804000854492,12.3156795501709,"AGRRA","agrra_benthic","63442","urn:lsid:marinespecies.org:taxname:288227","Acropora palmata",,,,,,,,,,,"Anthozoa",,,,,,,,,,5.3,,,,,,,"Acroporidae",,,,,,"Acropora",,,,,,,,,,,,,,,,,,,,,"Animalia",,,,,,,,,,,,,,,,,,,"Scleractinia",,,,,,"Cnidaria",1073217151,,,,,231,,,,,,"Acropora palmata",,"Hexacorallia",,,,,,,,,,,,,,,,,,,,,,"Hexacorallia",,,,695293,,,,288227,"2003"
